link_id,interval_nVehContrib,interval_harmonicMeanSpeed
11479094,3723.0,59.3833
119271213,3211.0,64.0667
119271337,3212.0,64.1417
119271346,4113.0,42.2333
119271357,3377.0,57.0917
123555214,1649.0,67.2417
123555228,3700.0,64.1708
123555236,3212.0,64.1417
123592887#0,4134.0,54.3708
123592887#1-AddedOffRampEdge,3389.0,58.4667
123592924#1,3217.0,26.2917
123867439#1-AddedOnRampEdge,8327.0,65.3083
123867446#1,5269.0,46.55
123867452,3564.0,51.4792
123867453#0,4165.0,11.625
123867454,3426.0,63.3583
124952143-AddedOnRampEdge,3560.0,62.6583
124952169,4549.0,22.4
155667053,3362.0,52.275
156778691,1441.0,65.65
157593042,3460.0,42.5083
157607510,2718.0,68.8167
157607513#1,3829.0,66.725
157607517,3308.0,14.1333
157607604-AddedOnRampEdge,3212.0,64.1417
157782133,5693.0,45.25
157782136#0,5407.0,64.9333
157782136#1-AddedOnRampEdge,5477.0,66.85
157806285,7958.0,62.8083
158623068#0,3818.0,67.4833
158623068#1,4745.0,33.6083
172165117,4224.0,24.7
184867222#0,3065.0,52.0708
184867243,3212.0,64.1417
22372547,4887.0,41.2417
22372559,2550.0,62.7583
23798287,6892.0,63.4417
23798288#1,5840.0,64.2833
23807074,2907.0,70.0333
23807652#1,4234.0,65.3375
23807653#1,3757.0,57.1917
23820853#1,3281.0,68.4167
23955194#0,4450.0,13.95
23955194#1,3994.0,28.35
23955194#2,4526.0,24.3833
24167679#1,4536.0,60.2917
25029732#2,4295.0,58.3667
25657136,2207.0,64.125
26230999#1,5518.0,39.3917
27829301#1,6428.0,23.8958
27829315#1,6527.0,68.6333
27829315#1-AddedOnRampEdge,5935.0,63.25
28317586#1,3207.0,53.4583
28317747,2793.0,15.2278
28317945,3430.0,67.2083
28319413#2,4379.0,54.425
28319423#0,3978.0,17.7333
28319423#1-AddedOffRampEdge,4556.0,42.2583
28319423#2,4390.0,29.9667
28319616,4271.0,54.55
28319618#1,3110.0,57.5833
28357386,3164.0,66.2333
28357402,4777.0,34.625
28357482,3819.0,25.2
28357727#0,4753.0,20.2167
28357727#0-AddedOffRampEdge,4547.0,45.2
28357727#1,4612.0,67.6667
28358874#1,7600.0,61.2583
28358875#1,6584.0,38.0167
28358961,5508.0,63.2167
28359025-AddedOnRampEdge,7680.0,43.9167
28359059#1,5614.0,66.9583
28378884#0,5702.0,63.6417
28378888#1-AddedOnRampEdge,5773.0,58.3167
28379295,3437.0,60.1083
28379297,2631.0,54.9125
28396115#1,4128.0,21.7583
28413844,6853.0,55.4417
28414195,3466.0,30.8833
28414204#0,4408.0,63.4167
28414349#1,2844.0,68.1167
28433582,2594.0,21.3375
28433597,4330.0,40.25
28433664#1,4790.0,36.6083
28433666#1,2463.0,25.4
28433994#1,3796.0,60.1125
28434077,3293.0,61.75
