link_id,interval_nVehContrib,interval_harmonicMeanSpeed
157607510,3012.0,68.8417
157607513#1,4008.0,67.375
157607517,3704.0,16.7667
157607604-AddedOnRampEdge,3346.0,64.0917
172165117,4516.0,33.975
28414195,5823.0,31.825
28414204#0,5027.0,62.8167
28414349#1,3125.0,68.35
28464124,4744.0,18.1167
28464126#1,6112.0,62.75
301865758,5823.0,31.825
301865760,5273.0,34.3875
30959001,3506.0,53.825
360948375,3928.0,64.7167
363648766#1-AddedOnRampEdge,4307.0,49.9
395439802,4099.0,37.0667
395439805,4554.0,53.9
508479313#0,4128.0,66.6
508479317,4267.0,55.5167
508479326,5266.0,42.0583
508479332#0,4818.0,26.1667
508479336,4126.0,66.5083
508479355,4129.0,67.2083
508479365#0,5729.0,14.7417
508479370#0,3700.0,16.5667
508479370#1,6621.0,58.3667
509721008,5823.0,31.825
509721010#0-AddedOnRampEdge,6115.0,63.3667
552603209,6112.0,62.75
687721970,4126.0,66.5083
687721973,2328.0,69.3667
850376107,2187.0,67.5542
850378488,3942.0,31.575
850395062,3583.0,66.7833
850746591,2367.0,65.7708
851553864,5204.0,27.9167
851555734,4990.0,55.3917
851560451,4481.0,33.1333
851561436,5823.0,31.825
851568240,3349.0,71.7583
867203204,4441.0,17.3
