link_id,interval_nVehContrib,interval_harmonicMeanSpeed
28413844,6642.0,59.3167
508115745,4544.0,64.8083
508115768,4595.0,63.575
508115808,7112.0,61.2083
508137802,5001.0,54.0083
508479370#1,4626.0,66.1333
52286756#1,5531.0,64.3583
544296215#0,3663.0,68.325
544296216-AddedOffRampEdge,5139.0,64.4083
544296218#0,4156.0,66.7667
544296218#1-AddedOnRampEdge,4425.0,66.85
544296218#2,5205.0,64.8917
619042896-AddedOffRampEdge,4235.0,66.8583
619042916,5129.0,64.3167
619042919,3027.0,64.7917
619042921,6091.0,64.0917
619042924,4347.0,62.6083
849833093,5141.0,64.225
851550873,4100.0,65.6139
851552197,3245.0,65.5361
851556422,3831.0,59.2417
