link_id,interval_nVehContrib,interval_harmonicMeanSpeed
11479094,790.0,66.3167
119271213,2051.0,66.3083
119271337,2051.0,66.4167
119271346,3541.0,67.5
119271357,1312.0,67.125
123555214,447.0,67.0583
123555228,4829.0,60.5
123555236,2051.0,66.4167
123592887#0,3214.0,61.2208
123592887#1-AddedOffRampEdge,3988.0,55.825
123592924#1,1253.0,65.8583
123867439#1-AddedOnRampEdge,5018.0,62.9333
123867446#1,4211.0,61.9167
123867452,3650.0,62.8083
123867453#0,908.0,67.8917
123867454,3951.0,61.0667
124952143-AddedOnRampEdge,4573.0,53.8667
124952169,1635.0,65.9889
155667053,1342.0,68.1833
156778691,2410.0,61.6083
157593042,2543.0,64.425
157607510,4638.0,62.5083
157607513#1,5190.0,52.975
157607517,2031.0,66.0
157607604-AddedOnRampEdge,2051.0,66.4167
157782133,4821.0,58.6833
157782136#0,3871.0,65.725
157782136#1-AddedOnRampEdge,3671.0,65.3583
157806285,3762.0,66.425
158623068#0,794.0,68.1167
158623068#1,1570.0,64.7833
172165117,2983.0,63.1333
184867222#0,1567.0,66.125
184867243,2051.0,66.4167
22372547,1233.0,66.2
22372559,2443.0,64.9167
23798287,6140.0,61.8042
23798288#1,5510.0,64.4417
23807074,1973.0,69.6
23807652#1,4657.0,61.0167
23807653#1,5566.0,63.5417
23820853#1,3982.0,62.15
23955194#0,2655.0,66.4833
23955194#1,2314.0,63.9833
23955194#2,2097.0,65.1833
24167679#1,5788.0,58.375
25029732#2,2742.0,61.825
25657136,2364.0,67.55
26230999#1,1684.0,58.7417
27829301#1,2591.0,67.1083
27829315#1,6076.0,69.8583
27829315#1-AddedOnRampEdge,4729.0,65.925
28317586#1,2090.0,64.8667
28317747,830.0,65.8556
28317945,4367.0,60.4667
28319413#2,966.0,66.25
28319423#0,986.0,66.3833
28319423#1-AddedOffRampEdge,1721.0,63.875
28319423#2,929.0,67.1833
28319616,966.0,65.3167
28319618#1,3853.0,64.6917
28357386,0.0,69.6
28357402,2044.0,64.35
28357482,803.0,66.8917
28357727#0,1709.0,63.7083
28357727#0-AddedOffRampEdge,1289.0,66.3667
28357727#1,1901.0,66.3583
28358874#1,7198.0,61.1667
28358875#1,2634.0,61.325
28358961,5742.0,63.5167
28359025-AddedOnRampEdge,2322.0,65.1333
28359059#1,6134.0,64.2958
28378884#0,4907.0,64.6417
28378888#1-AddedOnRampEdge,3968.0,63.2167
28379295,1858.0,60.6167
28379297,2857.0,61.7125
28396115#1,2488.0,64.1083
28413844,5237.0,59.7167
28414195,3046.0,57.5583
28414204#0,3552.0,59.725
28414349#1,4572.0,63.5417
28433582,5070.0,65.1
28433597,1488.0,64.7
28433664#1,1226.0,66.7417
28433666#1,4549.0,52.8
28433994#1,1858.0,63.5875
28434077,3374.0,62.3583
28435047,1381.0,66.9875
28435048,1387.0,63.8583
28435496,2476.0,62.5792
28435573,2561.0,64.4583
28437104,3586.0,61.5042
28437190#1,4656.0,64.975
28437207,2030.0,64.8083
