link_id,interval_nVehContrib,interval_harmonicMeanSpeed
11479094,1992.0,66.4
119271213,2891.0,63.5833
119271337,2895.0,63.6917
119271346,5450.0,60.6667
119271357,2458.0,62.2333
123555214,847.0,66.7375
123555228,3873.0,39.0
123555236,2895.0,63.6917
123592887#0,3088.0,50.1583
123592887#1-AddedOffRampEdge,4474.0,52.8417
123592924#1,2939.0,60.0833
123867439#1-AddedOnRampEdge,6405.0,62.2
123867446#1,5624.0,55.3667
123867452,4659.0,60.3458
123867453#0,3305.0,58.1917
123867454,4176.0,18.8333
124952143-AddedOnRampEdge,4015.0,25.075
124952169,4300.0,62.0278
155667053,2872.0,57.7
156778691,1829.0,60.4208
157593042,4378.0,63.7333
157607510,5025.0,58.9667
157607513#1,5794.0,38.4167
157607517,3046.0,66.0833
157607604-AddedOnRampEdge,2895.0,63.6917
157782133,6207.0,55.6417
157782136#0,4581.0,62.0167
157782136#1-AddedOnRampEdge,4381.0,64.75
157806285,5643.0,62.8083
158623068#0,3319.0,67.5333
158623068#1,4982.0,61.025
172165117,4470.0,28.75
184867222#0,2781.0,65.1333
184867243,2895.0,63.6917
22372547,3730.0,58.275
22372559,3644.0,60.7417
23798287,7634.0,31.7
23798288#1,6190.0,54.275
23807074,2215.0,68.95
23807652#1,4292.0,49.3125
23807653#1,5597.0,67.6833
23820853#1,3414.0,60.85
23955194#0,3906.0,67.0333
23955194#1,3339.0,65.2
23955194#2,3239.0,67.5833
24167679#1,3742.0,24.3333
25029732#2,3985.0,31.6167
25657136,3547.0,61.5417
26230999#1,4428.0,53.7167
27829301#1,5316.0,62.8708
27829315#1,7330.0,45.1667
27829315#1-AddedOnRampEdge,5765.0,43.9917
28317586#1,2924.0,57.15
28317747,2194.0,63.1528
28317945,4612.0,48.875
28319413#2,2496.0,64.3667
28319423#0,2965.0,62.8583
28319423#1-AddedOffRampEdge,4105.0,62.9083
28319423#2,2649.0,64.2083
28319616,2495.0,64.3833
28319618#1,3204.0,20.95
28357386,0.0,69.6
28357402,3469.0,65.2917
28357482,1674.0,68.1417
28357727#0,3980.0,63.1333
28357727#0-AddedOffRampEdge,3494.0,60.8333
28357727#1,3961.0,68.6833
28358874#1,8228.0,49.8417
28358875#1,5133.0,59.3333
28358961,6834.0,46.0917
28359025-AddedOnRampEdge,4898.0,64.4833
28359059#1,7211.0,46.2042
28378884#0,6626.0,32.65
28378888#1-AddedOnRampEdge,5662.0,59.2417
28379295,2508.0,60.5083
28379297,3036.0,45.1292
28396115#1,3991.0,66.85
28413844,6755.0,55.4
28414195,3524.0,53.45
28414204#0,5019.0,42.4083
28414349#1,4818.0,51.3417
28433582,5412.0,57.2292
28433597,2731.0,64.7167
28433664#1,2709.0,66.0
28433666#1,4551.0,27.6417
28433994#1,2982.0,61.6125
