link_id,interval_nVehContrib,interval_harmonicMeanSpeed
28413844,5237.0,59.7167
508115745,5104.0,62.5333
508115768,3530.0,65.9667
508115808,3856.0,62.35
508137802,3577.0,58.625
508479370#1,2600.0,63.2667
52286756#1,6140.0,63.0917
544296215#0,2141.0,69.95
544296216-AddedOffRampEdge,3238.0,67.0083
544296218#0,4418.0,51.9
544296218#1-AddedOnRampEdge,4706.0,41.9333
544296218#2,5782.0,40.7583
619042896-AddedOffRampEdge,4716.0,62.3667
619042916,3907.0,64.7417
619042919,2217.0,64.1167
619042921,6537.0,62.7417
619042924,4544.0,47.325
849833093,3242.0,66.8167
851550873,2841.0,67.675
851552197,2717.0,64.1611
851556422,2719.0,61.3083
