link_id,interval_nVehContrib,interval_harmonicMeanSpeed
28413844,5475.0,61.7
508115745,3911.0,66.9806
508115768,3903.0,65.9083
508115808,5258.0,62.8
508137802,4277.0,54.325
508479370#1,3588.0,66.7
52286756#1,4575.0,67.0333
544296215#0,2701.0,68.225
544296216-AddedOffRampEdge,3983.0,67.2667
544296218#0,3430.0,64.45
544296218#1-AddedOnRampEdge,3747.0,63.9417
544296218#2,4496.0,64.3333
619042896-AddedOffRampEdge,3247.0,69.625
619042916,4381.0,64.9
619042919,2579.0,63.6417
619042921,5351.0,65.8042
619042924,3746.0,60.7
849833093,3982.0,67.0667
851550873,3064.0,67.975
851552197,2739.0,65.5194
851556422,3240.0,59.4667
