link_id,interval_nVehContrib,interval_harmonicMeanSpeed
157607510,3689.0,69.0083
157607513#1,4652.0,43.1167
157607517,3833.0,66.6167
157607604-AddedOnRampEdge,3003.0,66.3083
172165117,4140.0,64.55
28414195,4213.0,63.0
28414204#0,5100.0,49.3333
28414349#1,3710.0,68.725
28464124,4829.0,65.1083
28464126#1,4792.0,58.7083
301865758,4404.0,63.6083
301865760,4322.0,64.725
30959001,1891.0,64.925
360948375,3691.0,64.4083
363648766#1-AddedOnRampEdge,4092.0,53.7917
395439802,4353.0,36.9417
395439805,3967.0,64.0167
508479313#0,3632.0,49.6833
508479317,4429.0,51.7083
508479326,4440.0,51.8333
508479332#0,4243.0,65.5583
508479336,4148.0,63.5
508479355,2978.0,66.1833
508479365#0,5697.0,64.9417
508479370#0,4697.0,63.7333
508479370#1,5570.0,64.25
509721008,4487.0,60.9667
509721010#0-AddedOnRampEdge,5437.0,62.5833
552603209,5897.0,64.8417
687721970,3433.0,64.9333
687721973,2195.0,70.175
850376107,2182.0,68.2167
850378488,1878.0,67.8333
850395062,4132.0,65.4917
850746591,1534.0,65.0292
851553864,5138.0,60.9417
851555734,5452.0,53.6417
851560451,4697.0,49.4417
851561436,4004.0,67.1833
851568240,3960.0,66.6333
867203204,4154.0,70.925
