link_id,interval_nVehContrib,interval_harmonicMeanSpeed
11479094,815.0,66.0
119271213,2035.0,66.35
119271337,2036.0,66.475
119271346,3575.0,69.275
119271357,1323.0,66.7417
123555214,433.0,67.0958
123555228,4886.0,60.4542
123555236,2036.0,66.475
123592887#0,2206.0,59.9417
123592887#1-AddedOffRampEdge,3962.0,55.35
123592924#1,1204.0,66.725
123867439#1-AddedOnRampEdge,5292.0,63.4583
123867446#1,4210.0,63.3167
123867452,3707.0,63.1792
123867453#0,894.0,67.5
123867454,3948.0,61.05
124952143-AddedOnRampEdge,4657.0,54.825
124952169,1640.0,66.2472
155667053,1328.0,68.0333
156778691,2220.0,61.6625
157593042,2733.0,62.95
157607510,5314.0,61.825
157607513#1,6221.0,52.4667
157607517,2084.0,66.0833
157607604-AddedOnRampEdge,2036.0,66.475
157782133,4852.0,58.9417
157782136#0,4069.0,66.5917
157782136#1-AddedOnRampEdge,3880.0,65.8417
157806285,3700.0,69.2167
158623068#0,878.0,67.7667
158623068#1,1632.0,64.6833
172165117,2930.0,63.8083
184867222#0,1532.0,66.2125
184867243,2036.0,66.475
22372547,829.0,66.9917
22372559,2540.0,65.1583
23798287,6371.0,60.8167
23798288#1,5503.0,64.1083
23807074,1896.0,69.3
23807652#1,4578.0,62.2083
23807653#1,4489.0,66.975
23820853#1,3995.0,65.7417
23955194#0,2664.0,66.3333
23955194#1,2339.0,65.0833
23955194#2,2094.0,67.2333
24167679#1,5927.0,58.3333
25029732#2,2797.0,61.9917
25657136,2330.0,68.35
26230999#1,1680.0,59.2583
27829301#1,2583.0,67.4917
27829315#1,6134.0,68.2417
27829315#1-AddedOnRampEdge,4837.0,63.6667
28317586#1,2080.0,64.8
28317747,936.0,66.0056
28317945,4245.0,66.9167
28319413#2,986.0,66.5833
28319423#0,1308.0,64.7042
28319423#1-AddedOffRampEdge,1689.0,64.0417
28319423#2,935.0,67.2667
28319616,976.0,66.2417
28319618#1,3919.0,71.875
28357386,4984.0,65.9417
28357402,2072.0,64.4833
28357482,772.0,67.4083
28357727#0,1737.0,64.9542
28357727#0-AddedOffRampEdge,1292.0,60.2333
28357727#1,1936.0,68.625
28358874#1,7203.0,61.7667
28358875#1,2664.0,61.725
28358961,5729.0,63.5583
28359025-AddedOnRampEdge,2303.0,65.0833
28359059#1,6110.0,64.4
28378884#0,4875.0,64.9417
28378888#1-AddedOnRampEdge,3942.0,62.7167
28379295,1791.0,60.0917
28379297,2865.0,61.2583
28396115#1,2487.0,67.0
28413844,5352.0,58.0667
28414195,3146.0,57.4333
28414204#0,3801.0,59.7917
28414349#1,5177.0,63.25
28433582,5009.0,50.4583
28433597,1431.0,64.7833
28433664#1,1177.0,66.8417
28433666#1,4489.0,49.825
28433994#1,1818.0,63.5667
28434077,3393.0,61.525
28435047,1345.0,66.5708
28435048,1443.0,63.8917
28435496,2449.0,62.0958
28435573,2526.0,64.05
28437104,3329.0,66.0958
28437190#1,4109.0,66.2667
28437207,1995.0,64.7583
28464124,3541.0,61.6667
28464126#1,4557.0,61.2583
28464667,5089.0,64.9417
28464668#1,2993.0,61.125
28464671-AddedOffRampEdge,2764.0,59.4333
28464671-AddedOnRampEdge,2320.0,61.6667
28665765,2036.0,66.3083
28665770#0,2035.0,66.35
301865758,3333.0,57.4333
301865760,3534.0,59.9
30583337,2036.0,66.3083
30959001,607.0,64.5375
30959012,4024.0,55.5208
326409095#1,3093.0,64.5917
33104348#0,5112.0,61.2
334904727,3204.0,65.2792
360948375,4676.0,45.225
363634378,3883.0,63.35
363648766#1-AddedOnRampEdge,2656.0,59.4667
366053237,3607.0,69.075
367132265,851.0,67.9917
394385111,3836.0,61.2833
394385113,6254.0,58.3417
394385114#1,3906.0,63.675
394449801#0,4908.0,58.7
394449801#1,6104.0,54.6292
394449803,6511.0,51.15
395336979,2035.0,66.35
395336990,2035.0,66.35
395337004,5111.0,61.2667
395343261,3090.0,63.3583
395343763,486.0,67.0417
395354964#0,6214.0,60.0667
395354964#1,6285.0,60.5
395354964#2,5994.0,58.5083
395362577,3189.0,62.1083
395368981#0,3391.0,67.6042
395368986,3167.0,71.5667
395394468,3081.0,61.5528
395394473,6383.0,52.85
395394478,7066.0,51.325
395439802,3294.0,64.4
395439803,2795.0,64.4
395439805,2561.0,63.5667
42397233,2648.0,66.1167
479773092#0,5334.0,60.35
479773092#1,6202.0,66.0583
479773095,2667.0,68.6167
479773098,2828.0,63.675
479773099,1543.0,68.325
5018717,2993.0,41.8583
5018720,2517.0,41.7667
508060359,1835.0,66.0917
508060361,2254.0,63.4167
508060362,2036.0,66.475
508115737#0,4908.0,65.325
508115737#1,4841.0,63.9833
508115737#1-AddedOffRampEdge,3829.0,60.5083
508115745,5093.0,62.5056
508115768,3364.0,66.0417
508115808,3858.0,63.05
508137802,3713.0,52.7667
508479313#0,2835.0,59.6167
508479317,3604.0,67.7583
508479326,3564.0,64.1917
508479332#0,3037.0,65.1833
508479336,3112.0,61.3417
508479355,3843.0,59.8417
508479365#0,3298.0,66.9917
508479370#0,2822.0,65.225
508479370#1,2679.0,66.6167
509721008,2627.0,60.75
509721010#0-AddedOnRampEdge,6340.0,51.2667
509747240,6199.0,57.9042
509747288,2302.0,68.1083
509747302,5288.0,58.1417
509747310-AddedOnRampEdge,5332.0,60.45
509747324-AddedOnRampEdge,2265.0,67.5667
509747346,4939.0,57.3833
509747348,2555.0,67.1667
509747381,2730.0,66.925
509747406-AddedOffRampEdge,6995.0,62.4417
517168464,870.0,66.8083
52286756#1,6111.0,63.0583
52324493,2296.0,62.7208
544296215#0,2168.0,67.65
544296216-AddedOffRampEdge,3196.0,66.875
544296218#0,5062.0,53.95
544296218#1-AddedOnRampEdge,5444.0,39.7417
544296218#2,6802.0,40.7417
544296221,3413.0,65.5417
550271868,785.0,67.9333
550284581,4568.0,64.9833
550284584-AddedOffRampEdge,4603.0,67.3
550284598,3104.0,62.5667
550284602,3134.0,55.9333
550284604,1509.0,68.1583
550284605,3987.0,58.775
552389451,3146.0,63.25
552389451-AddedOffRampEdge,3136.0,62.4333
552603209,6108.0,62.9083
552603210,3512.0,63.325
56159747,2986.0,66.5625
60759806,3780.0,63.2167
617235581,5771.0,63.0417
617235585#0,6477.0,60.9708
617235594,2324.0,66.2583
617235603,3240.0,66.4333
617235606,2629.0,65.5583
617235612,1050.0,65.4625
617259138,3356.0,65.8917
617259141,3742.0,64.95
617259144-AddedOnRampEdge,2739.0,69.5917
617259148-AddedOnRampEdge,2617.0,66.7833
617259170,2040.0,40.2083
617259178,2925.0,67.25
617284141,4522.0,63.0917
617284143,3347.0,67.575
617284144#0,1042.0,66.7833
617284144#1,1698.0,68.4583
617284145#0-AddedOnRampEdge,3929.0,65.0417
617284164,4341.0,67.175
617284166,3491.0,62.2833
617284173,4401.0,64.5125
617335302,5181.0,55.7333
619042896-AddedOffRampEdge,4855.0,62.2667
619042916,3819.0,64.95
619042919,2309.0,63.15
619042921,6434.0,62.5875
619042924,5050.0,51.0
685973438,2702.0,63.575
687721970,4158.0,60.2667
687721973,0.0,69.0
687721986,2116.0,67.8667
699542380#1,1736.0,64.9625
708314651,6359.0,47.0583
711834658,4180.0,59.0139
727202049,5112.0,61.2
768291603,4956.0,66.425
838046085,1731.0,67.675
848429238,2930.0,62.7625
848467540#0,3822.0,63.25
848467541,2865.0,63.075
848488831,3812.0,66.05
848489711,728.0,67.6917
848489712,1169.0,63.8667
848501101#0,812.0,68.4833
848743564,3140.0,60.5417
848743565,3106.0,63.6
848745539#0,3642.0,55.8
848745539#1,2494.0,65.85
848748038,1194.0,66.9417
848748039,1364.0,62.7083
848748039-AddedOffRampEdge,1277.0,65.525
848751591,1149.0,66.3583
848754158,777.0,67.2333
848767838,2126.0,67.625
848809833,4053.0,66.5
848809834,4147.0,63.6167
848818561,4278.0,60.7042
848875024#0,3198.0,66.6833
848880058,4281.0,65.1917
848920992#0,4495.0,61.85
849677308#0,3143.0,56.925
849677308#1,3592.0,57.9167
849696784,4525.0,66.3583
849806971#0,3484.0,62.075
849818316,2696.0,63.2833
849821064,649.0,67.0917
849833093,3198.0,66.6833
850026981,2586.0,68.7583
850032296,5637.0,57.7
850057340#0,3683.0,62.0083
850097346,1611.0,63.1583
850098170,4127.0,65.3333
850134421,1277.0,65.35
850376107,3860.0,65.0375
850378488,1049.0,66.5917
850395062,5611.0,59.775
850615423,2213.0,63.9333
850616213,5366.0,61.2458
850746591,1109.0,65.6208
850760258,2035.0,66.35
851520670,1736.0,68.9667
851520671-AddedOffRampEdge,2036.0,66.3083
851541351,1032.0,68.025
851544880,1119.0,67.7458
851548985#1,2036.0,66.3083
851550873,2714.0,67.6472
851552197,2789.0,63.1639
851553864,3633.0,62.2167
851555734,4498.0,58.025
851556422,2790.0,58.625
851560451,3470.0,63.2417
851561436,2810.0,67.6083
851568240,5500.0,63.275
851569274,1059.0,68.1833
854162451,1545.0,64.4917
854215625,4855.0,63.6
860646752-AddedOffRampEdge,3810.0,65.5
861059531,2767.0,70.575
863751890,6405.0,63.2083
863754537,5233.0,60.8417
867203204,1890.0,70.1417
867204829,2207.0,66.5
867204830-AddedOffRampEdge,2306.0,68.0417
867208766,4734.0,60.7667
867246178,5480.0,57.5625
867247243,3025.0,64.7
867251845#0,912.0,66.8917
867256162#0,4358.0,61.75
867256162#3,3406.0,64.9083
867256163,5885.0,56.4583
867259033,2875.0,66.8083
867262165#0,766.0,67.2542
867290381,3810.0,61.6458
8954447,2051.0,64.8417
95265016#1,1078.0,65.3583
