link_id,interval_nVehContrib,interval_harmonicMeanSpeed
157607510,5317.0,61.675
157607513#1,6124.0,49.575
157607517,1778.0,69.1333
157607604-AddedOnRampEdge,2051.0,66.4167
172165117,2924.0,63.8333
28414195,3242.0,66.8167
28414204#0,4355.0,62.8667
28414349#1,5098.0,63.3333
28464124,3486.0,61.8417
28464126#1,6140.0,62.9333
301865758,3242.0,66.8167
301865760,3423.0,64.5917
30959001,1390.0,65.8875
360948375,4912.0,52.125
363648766#1-AddedOnRampEdge,2389.0,60.2167
395439802,2935.0,65.5917
395439805,2577.0,63.9458
508479313#0,5108.0,61.3417
508479317,3473.0,67.775
508479326,4336.0,63.6
508479332#0,3068.0,65.3083
508479336,5106.0,61.2583
508479355,5111.0,61.875
508479365#0,3271.0,67.4333
508479370#0,1780.0,68.4667
508479370#1,2624.0,62.5583
509721008,3242.0,66.8167
509721010#0-AddedOnRampEdge,6140.0,63.575
552603209,6140.0,62.9333
687721970,5106.0,61.2583
687721973,3617.0,66.8417
850376107,3863.0,64.2833
850378488,966.0,66.4583
850395062,5316.0,62.25
850746591,2424.0,66.5875
851553864,3565.0,61.6083
851555734,4322.0,63.3417
851560451,3336.0,63.425
851561436,3242.0,66.8167
851568240,5445.0,64.3583
867203204,1920.0,70.3083
