link_id,interval_nVehContrib,interval_harmonicMeanSpeed
28413844,6140.0,63.575
508115745,5104.0,62.5333
508115768,6140.0,63.575
508115808,3236.0,67.2083
508137802,3235.0,67.5083
508479370#1,2624.0,62.5583
52286756#1,6140.0,63.0917
544296215#0,2080.0,69.3417
544296216-AddedOffRampEdge,3238.0,67.0083
544296218#0,5278.0,57.275
544296218#1-AddedOnRampEdge,5383.0,41.2083
544296218#2,6859.0,43.1333
619042896-AddedOffRampEdge,4811.0,64.325
619042916,3235.0,67.5083
619042919,5106.0,61.2583
619042921,6141.0,63.4542
619042924,6140.0,63.575
849833093,3242.0,66.8167
851550873,2710.0,66.825
851552197,4045.0,63.6028
851556422,2052.0,66.2417
